supplier,sku,product_name,offer_type,kit_theme,primary_collection_slug,primary_collection_name,also_include_in_hub,hub_slug,likely_components,related_categories,raw_category_path,source_field,assignment_note
Logoline,LL8381,The Mindful Moment,prebuilt_kit,wellness_care,wellness-gift-packs-australia,Wellness Gift Packs,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8385,The Cosy Indulgence,prebuilt_kit,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,food/confectionery item; bag/packaging carrier,Confectionery; Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8391,The Perfect Pairing,prebuilt_kit,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8397,The Warm Escape,prebuilt_kit,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier; wearable item,Bags; Apparel/Headwear,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8407,The Big Indulge,prebuilt_kit,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8409,The Treat Kit,prebuilt_kit,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,food/confectionery item; bag/packaging carrier,Confectionery; Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8425,The Good Things,prebuilt_kit,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8427,The Wine & Unwind,prebuilt_kit,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,barware/wine item; bag/packaging carrier,Barware & Accessories; Bags,Packs & Gifting / Celebrate & Gift,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8506,Onboarding Bundle,prebuilt_bundle,employee_onboarding,employee-onboarding-kits-australia,Employee Onboarding Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Corporate Gifting,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6010,Conference Pack,prebuilt_kit,conference_event,conference-event-kits-australia,Conference & Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; event giveaway item,Bags; Giveaways & Event Accessories,Packs & Gifting / Event Essentials,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8297,Tradeshow Pack,prebuilt_kit,conference_event,conference-event-kits-australia,Conference & Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; event giveaway item,Bags; Giveaways & Event Accessories,Packs & Gifting / Event Essentials,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL4564,Lux Sunglasses Pack,prebuilt_kit,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Packs & Gifting / Outdoor & Adventure,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8511,On-the-Go Emergency Pack,prebuilt_kit,wellness_care,wellness-gift-packs-australia,Wellness Gift Packs,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Packs & Gifting / Outdoor & Adventure,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6013,Wellness Pack,prebuilt_kit,wellness_care,wellness-gift-packs-australia,Wellness Gift Packs,true,custom-merch-kits-australia,bag/packaging carrier; personal care item,Bags; Personal Care,Packs & Gifting / Wellness & Care Packs,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6016,Intro Pack,prebuilt_kit,employee_onboarding,employee-onboarding-kits-australia,Employee Onboarding Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Packs & Gifting / Workplace Essentials,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL6053,Essentials Hygiene Pack,prebuilt_kit,wellness_care,wellness-gift-packs-australia,Wellness Gift Packs,true,custom-merch-kits-australia,bag/packaging carrier; personal care item,Bags; Personal Care,Personal / Anti Bacterial,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL857,Stitch-In-Time Sewing Kit,prebuilt_kit,wellness_care,wellness-gift-packs-australia,Wellness Gift Packs,true,custom-merch-kits-australia,personal care item,Personal Care,Personal / Sewing Kits,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8211,Symphony Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8212,Destiny Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8214,Alliance Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8215,Bellman Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8218,Ohana Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8220,Kyoto Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8221,Cove Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8248,Quay Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8261,Carnival Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8265,Gateway Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8266,Embark Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8269,Incentive Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8270,Osaka Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8272,Sass Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8278,Anthem Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8279,Liberty Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8280,Voyager Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,technology item,Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8369,Tech Pack Executive,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier; technology item,Bags; Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8373,Tech Pack Travel,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier; technology item,Bags; Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8377,Tech Pack Power,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier; technology item,Bags; Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8443,Carnival Cardboard Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,gift packaging; technology item,Packaging; Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
Logoline,LL8454,Quay Cardboard Gift Set,gift_set,tech_gift_set,tech-gift-sets-australia,Tech Gift Sets,true,custom-merch-kits-australia,gift packaging; technology item,Packaging; Technology,Technology / Gift Sets,Collection + Category + SubCategory,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,8988,Plain Cufflinks,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,mixed branded products,multiple categories,Giftsets,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,9096,Pineapple Leather Travel Gift Set,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,mixed branded products,multiple categories,Giftsets,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,GS1016,Stationary Essentials Pack,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Giftsets,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,GS1019,Get Organised Pack,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Giftsets,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,GS1020,Travel Pack,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Giftsets,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,SC1001,Scriptura Gift Set,gift_set,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,mixed branded products,multiple categories,Giftsets,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1001,The Custom Gourmet Entertainer Set,hamper,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,mixed branded products,multiple categories,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1002,The Prestige Custom Gourmet Nibbles Gift Pack,hamper,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,food/confectionery item; bag/packaging carrier,Confectionery; Bags,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1003,The Branded Gourmet Picnic Gift Pack,hamper,beach_outdoor,outdoor-event-kits-australia,Outdoor Event Kits,true,custom-merch-kits-australia,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1004,The Gourmet Retreat Gift Pack,hamper,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,food/confectionery item; bag/packaging carrier,Confectionery; Bags,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1005,Custom Sweet Treats & Essentials Gift Pack,hamper,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,food/confectionery item; bag/packaging carrier,Confectionery; Bags,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1006,The Sweet Indulgence and Hydration Gift Pack,hamper,food_drink_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,food/confectionery item; bag/packaging carrier,Confectionery; Bags,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1007,Customised Onboarding Gift Pack,hamper,employee_onboarding,employee-onboarding-kits-australia,Employee Onboarding Kits,true,custom-merch-kits-australia,bag/packaging carrier,Bags,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1011,Branded Tech Kit Gift Pack,hamper,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,bag/packaging carrier; technology item,Bags; Technology,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
NIConcept,HAM1012,The Custom Travel Kit,hamper,general_corporate_gifting,corporate-gift-sets-australia,Corporate Gift Sets,true,custom-merch-kits-australia,mixed branded products,multiple categories,Hampers,categorisation + category_/_sub category,Supplier prebuilt kit/bundle candidate; not a product primary category.
