supplier_sku,product_name,decoration_method,decoration_area,artwork_size_label,tier_1_plus,tier_10_plus,tier_25_49_or_25_plus,tier_50_99_or_50_plus,tier_100_249_or_100_plus,tier_250_plus,tier_500_plus,setup_cost,setup_frequency,price_status_note,packing_fee_note,cost_scope,gst_note,source_note
IGOISB,On-Ice 21L Sound Box,UVDTF Full Colour,Cooler - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,Decoration area says Size & Application on request; user confirmed actual UVDTF pricing.
IGOISB,On-Ice 21L Sound Box,UVDTF Full Colour,Cooler - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,Decoration area says Size & Application on request; user confirmed actual UVDTF pricing.
IGSCFAK,SwiftCare First Aid Kit,Digital Printing,Case,,,,5.30,5.30,5.30,5.30,,,,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
IGSCFAK,SwiftCare First Aid Kit,Pad Print (1 colour),Box only - max 70x40mm,70x40mm,,,4.70,4.10,2.90,2.70,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
IGSCFAK,SwiftCare First Aid Kit,Laser Engraving,Case - 80x40mm,80x40mm,,,6.15,5.00,4.40,3.85,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEB,Event Ice Bucket,UVDTF Full Colour,Bucket - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEB,Event Ice Bucket,UVDTF Full Colour,Bucket - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEB,Event Ice Bucket,UVDTF Full Colour,Bucket - 300x210mm,300x210mm,27.00,21.80,16.60,16.40,16.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POPIB,Polar Ice 7.2L Bucket,UVDTF Full Colour,Bucket - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POPIB,Polar Ice 7.2L Bucket,UVDTF Full Colour,Bucket - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POPIB,Polar Ice 7.2L Bucket,UVDTF Full Colour,Bucket - 300x210mm,300x210mm,27.00,21.80,16.60,16.40,16.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEGB,Envy Glass Bottle,Pad Print (1 colour),Lid - 35mm Dia,35mm Dia,,,4.45,3.85,2.65,2.45,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEGB,Envy Glass Bottle,Pad Print (1 colour),Sleeve - 20x60mm,20x60mm,,,4.45,3.85,3.25,2.45,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEGB,Envy Glass Bottle,Pad Print (1 colour),Packaging - 45x45mm,45x45mm,,,4.45,3.85,2.65,2.45,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POEGB,Envy Glass Bottle,Laser Engraving,Sleeve,,,,POA,POA,POA,POA,,75.00,per_order,request_quote_all_tiers,,branding_only,ex_gst,POA means request_quote and unit_cost null.
POGB,Orbit Glass Bottle,Pad Print (1 colour),Lid - 35mm Dia,35mm Dia,,,4.45,3.85,2.65,2.45,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POGB,Orbit Glass Bottle,Pad Print (1 colour),Sleeve - 20x60mm,20x60mm,,,4.45,3.85,2.65,2.45,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POGB,Orbit Glass Bottle,Pad Print (1 colour),Packaging - 45x45mm,45x45mm,,,4.45,3.85,2.65,2.45,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POGB,Orbit Glass Bottle,Laser Engraving,Lid - 35mm Dia,35mm Dia,,,4.25,3.00,2.60,2.25,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POOPB,Ombrello Picnic Blanket,Pad Print (1 colour),Box Lid - max 70x40mm,70x40mm,,,4.70,4.10,3.50,2.70,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POOPB,Ombrello Picnic Blanket,Pad Print (1 colour),Tag,,,,POA,POA,POA,POA,,75.00,per_order,request_quote_all_tiers,,branding_only,ex_gst,POA means request_quote and unit_cost null.
POOPB,Ombrello Picnic Blanket,Laser Engraving,Tag - 25x50mm,25x50mm,,,4.10,2.85,2.40,2.10,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PORC,Retro Cooler Box,Screen Print (1 colour),Cooler body,,,,15.00,9.75,8.70,7.50,,90.00,per_order,priced,Screen Print packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PORC,Retro Cooler Box,Screen Print (2 colour),Cooler body,,,,23.25,15.25,12.75,11.25,,180.00,per_order,priced,Screen Print packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PORC,Retro Cooler Box,UVDTF Full Colour,Cooler - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PORC,Retro Cooler Box,UVDTF Full Colour,Cooler - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PORC,Retro Cooler Box,UVDTF Full Colour,Cooler - 300x210mm,300x210mm,27.00,21.80,16.60,16.40,16.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POSWTS,Sommelier Wine Tasting Set,Pad Print (1 colour),All 4 Glasses - 35x35mm,35x35mm,,,12.50,10.10,7.70,6.30,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POSWTS,Sommelier Wine Tasting Set,Laser Engraving,Tray Slate - 40x40mm,40x40mm,,,4.75,3.50,3.10,2.75,,75.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POVCB,Vintage Cooler Box,Screen Print (1 colour),Cooler body,,,,15.00,9.75,8.70,7.50,,90.00,per_order,priced,Screen Print packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POVCB,Vintage Cooler Box,Screen Print (2 colour),Cooler body,,,,23.25,15.25,12.75,11.25,,180.00,per_order,priced,Screen Print packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POVCB,Vintage Cooler Box,UVDTF Full Colour,Cooler - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POVCB,Vintage Cooler Box,UVDTF Full Colour,Cooler - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POVCB,Vintage Cooler Box,UVDTF Full Colour,Cooler - 300x210mm,300x210mm,27.00,21.80,16.60,16.40,16.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POWBC,Wave Beach Chair,Laser Engraving,Slat,,,,POA,POA,POA,POA,,75.00,per_order,request_quote_all_tiers,,branding_only,ex_gst,Laser Engraving location is POA with no fixed pricing.
POWBC,Wave Beach Chair,Transfer Printing (Full Colour),60x60mm,60x60mm,,,5.25,4.50,4.00,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POWBC,Wave Beach Chair,Transfer Printing (Full Colour),100x100mm,100x100mm,,,6.75,5.25,4.75,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POWBC,Wave Beach Chair,Transfer Printing (Full Colour),210x150mm,210x150mm,,,8.00,6.25,5.25,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POWBC,Wave Beach Chair,Transfer Printing (Full Colour),300x200mm,300x200mm,,,9.25,7.00,6.25,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee applies; amount not captured in current text.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
PODCB,Detroit 20L Cooler Box,Screen Print (1 colour),Cooler body,,,,15.00,9.75,8.70,7.50,,90.00,per_order,priced,Screen Print packing/repacking fee 2.50 per piece confirmed from screenshot.,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PODCB,Detroit 20L Cooler Box,Screen Print (2 colour),Cooler body,,,,23.25,15.25,12.75,11.25,,180.00,per_order,priced,Screen Print packing/repacking fee 2.50 per piece confirmed from screenshot.,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PODCB,Detroit 20L Cooler Box,UVDTF Full Colour,Cooler - 100x120mm,100x120mm,16.60,14.00,11.40,11.20,11.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PODCB,Detroit 20L Cooler Box,UVDTF Full Colour,Cooler - 200x150mm,200x150mm,20.50,16.60,14.00,13.80,13.50,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
PODCB,Detroit 20L Cooler Box,UVDTF Full Colour,Cooler - 300x210mm,300x210mm,27.00,21.80,16.60,16.40,16.00,,,55.00,per_order,priced,,branding_only,ex_gst,User supplied confirmed product-specific pricing.
POOMTT,Ombrello Tavolo Table,Transfer Printing (Full Colour),60x60mm,60x60mm,,,5.25,4.50,4.00,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee 0.50 per piece confirmed from screenshot.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POOMTT,Ombrello Tavolo Table,Transfer Printing (Full Colour),100x100mm,100x100mm,,,6.75,5.25,4.75,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee 0.50 per piece confirmed from screenshot.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POOMTT,Ombrello Tavolo Table,Transfer Printing (Full Colour),210x150mm,210x150mm,,,8.00,6.25,5.25,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee 0.50 per piece confirmed from screenshot.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POOMTT,Ombrello Tavolo Table,Transfer Printing (Full Colour),300x200mm,300x200mm,,,9.25,7.00,6.25,POA,,55.00,per_order,tier_250_plus_request_quote,Transfer Printing packing/repacking fee 0.50 per piece confirmed from screenshot.,branding_only,ex_gst,POA tier means request_quote and unit_cost null.
POOMTT,Ombrello Tavolo Table,Laser Engraving,Slat / Leg,,,,POA,POA,POA,POA,POA,75.00,per_order,request_quote_all_tiers,,branding_only,ex_gst,Laser Engraving location is POA with no fixed pricing.
