supplier,source_field,raw_category_path,sku,product_name,mapping_status,target_category,target_subcategory,confidence,rule_id,review_reason,suggested_tags,suggested_material,mapping_note,offer_type,kit_theme,likely_components,related_categories,suggested_collection_slug,action,bundle_note
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8290,Eco Shopping Kit,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,eco_sustainable,bag/packaging carrier,Bags,eco-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Bags / Gift Sets,LL8389,Expo Essentials Pack,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,conference_event,bag/packaging carrier; event giveaway item,Bags; Giveaways & Event Accessories,conference-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL2230,Elite Gift Set with Hip Flask,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,general_corporate_gifting,mixed branded products,multiple categories,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8292,Eco Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,eco_sustainable,bag/packaging carrier,Bags,eco-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8293,Exec Gift Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,general_corporate_gifting,bag/packaging carrier,Bags,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8300,Picnic Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Drinkware / Gift Sets,LL8451,Pura Cardboard Gift Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,general_corporate_gifting,gift packaging,Packaging,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6000,Summer Beach Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6004,Gold Coast Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier,Bags,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6011,Bondi Beach Kit,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,outdoor/leisure item,Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL6012,Coogee Beach Kit,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,outdoor/leisure item,Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8288,Adventure Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8291,Flinders Reusable Kit,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,eco_sustainable,mixed branded products,multiple categories,eco-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8295,Active Living Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8296,Bondi Beach Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8298,Tradie Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,general_corporate_gifting,bag/packaging carrier,Bags,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Lifestyle / Gift Sets,LL8347,Lunch & Latte Kit,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,food_drink_gifting,drinkware,Drinkware,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL6002,Back To School Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item; bag/packaging carrier,Office & Desk; Bags,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL6014,Encore Office Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item; bag/packaging carrier,Office & Desk; Bags,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL6020,Bravo Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item; bag/packaging carrier,Office & Desk; Bags,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL6027,Wellbeing Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item; bag/packaging carrier; personal care item,Office & Desk; Bags; Personal Care,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8241,Harmony Gift Set,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item,Office & Desk,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8247,Anthem Gift Set,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item,Office & Desk,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8271,Sephora Gift Set,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item,Office & Desk,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8289,Kakadu Eco Kit,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item,Office & Desk,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8299,Office Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item; bag/packaging carrier,Office & Desk; Bags,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8433,Sephora Cardboard Gift Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,office_school,notebook/office item; gift packaging,Office & Desk; Packaging,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8441,Harmony Cardboard Gift Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,office_school,notebook/office item; gift packaging,Office & Desk; Packaging,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets,LL8453,Anthem Cardboard Gift Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,gift_set,office_school,notebook/office item; gift packaging,Office & Desk; Packaging,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Office / Gift Sets / Sets,LL6033,The Little Learners Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,office_school,notebook/office item; bag/packaging carrier,Office & Desk; Bags,office-and-school-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8231,The Classic Pairing,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,bag/packaging carrier,Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8233,The Warm Welcome,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,employee_onboarding,bag/packaging carrier,Bags,employee-onboarding-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8313,The Happy Hour,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,barware/wine item; bag/packaging carrier,Barware & Accessories; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8315,The Host Edit,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,barware/wine item; bag/packaging carrier,Barware & Accessories; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8319,The Nibble Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,food/confectionery item; bag/packaging carrier,Confectionery; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8321,Bubbles & Beachdays,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,beach_outdoor,bag/packaging carrier; outdoor/leisure item,Bags; Outdoor & Sports,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8323,The Daily Setup,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,general_corporate_gifting,bag/packaging carrier,Bags,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8325,The Brew & Bite,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,food/confectionery item; bag/packaging carrier,Confectionery; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8327,The Chandon Escape,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,barware/wine item; bag/packaging carrier; wearable item,Barware & Accessories; Bags; Apparel/Headwear,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8329,The Sunchaser Set,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,beach_outdoor,bag/packaging carrier,Bags,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8331,Glow & Graze,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,food/confectionery item; bag/packaging carrier,Confectionery; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8335,The Winter Warmer Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,prebuilt_kit,general_corporate_gifting,bag/packaging carrier,Bags,custom-merch-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8339,The Brew Ritual,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,bag/packaging carrier,Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8341,The Refined Graze,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,food/confectionery item; bag/packaging carrier,Confectionery; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8351,The Pause Pack,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,prebuilt_kit,wellness_care,bag/packaging carrier,Bags,wellness-gift-packs-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8353,The Classic Whisky Gift Set,kit_bundle_collection_candidate,,,,,gift set/hamper/pack needs manual bundle strategy,,,,gift_set,food_drink_gifting,barware/wine item; bag/packaging carrier,Barware & Accessories; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8359,The Ultimate Welcome - Tea Edition,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,employee_onboarding,drinkware; bag/packaging carrier,Drinkware; Bags,employee-onboarding-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8361,The Sunset Pour,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,beach_outdoor,bag/packaging carrier,Bags,outdoor-event-kits-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8363,The Generous Host,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,food_drink_gifting,barware/wine item; bag/packaging carrier,Barware & Accessories; Bags,corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8379,The Little Luxuries,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,premium_corporate_gift,bag/packaging carrier,Bags,premium-corporate-gift-sets-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
Logoline,Collection + Category + SubCategory,Packs & Gifting / Celebrate & Gift,LL8381,The Mindful Moment,kit_bundle_collection_candidate,,,,,no high-confidence keyword match,,,,prebuilt_kit,wellness_care,bag/packaging carrier,Bags,wellness-gift-packs-australia,route to Kits & Bundles collection/offer; do not force into primary category,Kitting offer built from existing product categories.
