slug,page_type,source_type,source_label,primary_keyword,title,h1,nav_label,home_label,meta_description,canonical_url,product_filter,seo_content,faq,hero_image,status,priority,show_in_home,show_in_nav,show_in_footer,breadcrumb_parent,related_urls,noindex
promotional-giveaways-australia,product_category,category,Giveaways & Event Accessories,promotional giveaways australia,Promotional Giveaways Australia | QuirkyPromo,Promotional Giveaways Australia,Giveaways & Event Accessories,Giveaways & Event Accessories,"Browse Giveaways & Event Accessories promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/promotional-giveaways-australia,"{""type"":""category"",""category"":""Giveaways & Event Accessories""}",,[],,draft,5,false,true,false,,[],false
outdoor-promotional-products-australia,product_category,category,Outdoor & Sports,outdoor promotional products australia,Outdoor Promotional Products Australia | QuirkyPromo,Outdoor Promotional Products Australia,Outdoor & Sports,Outdoor & Sports,"Browse Outdoor & Sports promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/outdoor-promotional-products-australia,"{""type"":""category"",""category"":""Outdoor & Sports""}",,[],,draft,5,false,true,false,,[],false
branded-homewares-australia,product_category,category,Home & Living,branded homewares australia,Branded Homewares Australia | QuirkyPromo,Branded Homewares Australia,Home & Living,Home & Living,"Browse Home & Living promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-homewares-australia,"{""type"":""category"",""category"":""Home & Living""}",,[],,draft,5,false,true,false,,[],false
branded-travel-accessories-australia,product_category,category,Travel,branded travel accessories australia,Branded Travel Accessories Australia | QuirkyPromo,Branded Travel Accessories Australia,Travel,Travel,"Browse Travel promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-travel-accessories-australia,"{""type"":""category"",""category"":""Travel""}",,[],,draft,5,false,true,false,,[],false
branded-tools-and-car-accessories-australia,product_category,category,Tools & Auto,branded tools and car accessories australia,Branded Tools and Car Accessories Australia | QuirkyPromo,Branded Tools and Car Accessories Australia,Tools & Auto,Tools & Auto,"Browse Tools & Auto promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-tools-and-car-accessories-australia,"{""type"":""category"",""category"":""Tools & Auto""}",,[],,draft,5,false,true,false,,[],false
branded-barware-australia,product_category,category,Barware & Accessories,branded barware australia,Branded Barware Australia | QuirkyPromo,Branded Barware Australia,Barware & Accessories,Barware & Accessories,"Browse Barware & Accessories promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-barware-australia,"{""type"":""category"",""category"":""Barware & Accessories""}",,[],,draft,5,false,true,false,,[],false
custom-keyrings-australia,product_category,category,Key Rings,custom keyrings australia,Custom Keyrings Australia | QuirkyPromo,Custom Keyrings Australia,Key Rings,Key Rings,"Browse Key Rings promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-keyrings-australia,"{""type"":""category"",""category"":""Key Rings""}",,[],,draft,5,false,true,false,,[],false
trade-show-displays-australia,product_category,category,Flags & Displays,trade show displays australia,Trade Show Displays Australia | QuirkyPromo,Trade Show Displays Australia,Flags & Displays,Flags & Displays,"Browse Flags & Displays promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/trade-show-displays-australia,"{""type"":""category"",""category"":""Flags & Displays""}",,[],,draft,5,false,true,false,,[],false
printed-marketing-materials-australia,product_category,category,Marketing Materials,printed marketing materials australia,Printed Marketing Materials Australia | QuirkyPromo,Printed Marketing Materials Australia,Marketing Materials,Marketing Materials,"Browse Marketing Materials promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/printed-marketing-materials-australia,"{""type"":""category"",""category"":""Marketing Materials""}",,[],,draft,5,false,true,false,,[],false
branded-office-supplies-australia,product_category,category,Office & Desk,branded office supplies australia,Branded Office Supplies Australia | QuirkyPromo,Branded Office Supplies Australia,Office & Desk,Office & Desk,"Browse Office & Desk promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-office-supplies-australia,"{""type"":""category"",""category"":""Office & Desk""}",,[],,draft,5,false,true,false,,[],false
custom-bags-australia,product_category,category,Bags,custom bags australia,Custom Bags Australia | QuirkyPromo,Custom Bags Australia,Bags,Bags,"Browse Bags promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-bags-australia,"{""type"":""category"",""category"":""Bags""}",,[],,draft,10,true,true,false,,[],false
custom-branded-apparel-australia,product_category,category,Apparel,custom branded apparel australia,Custom Branded Apparel Australia | QuirkyPromo,Custom Branded Apparel Australia,Apparel,Apparel,"Browse Apparel promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-branded-apparel-australia,"{""type"":""category"",""category"":""Apparel""}",,[],,draft,10,true,true,false,,[],false
custom-drinkware-australia,product_category,category,Drinkware,custom drinkware australia,Custom Drinkware Australia | QuirkyPromo,Custom Drinkware Australia,Drinkware,Drinkware,"Browse Drinkware promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-drinkware-australia,"{""type"":""category"",""category"":""Drinkware""}",,[],,draft,10,true,true,false,,[],false
branded-pens-australia,product_category,category,Pens,branded pens australia,Branded Pens Australia | QuirkyPromo,Branded Pens Australia,Pens,Pens,"Browse Pens promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-pens-australia,"{""type"":""category"",""category"":""Pens""}",,[],,draft,10,true,true,false,,[],false
corporate-tech-gifts-australia,product_category,category,Technology,corporate tech gifts australia,Corporate Tech Gifts Australia | QuirkyPromo,Corporate Tech Gifts Australia,Technology,Technology,"Browse Technology promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/corporate-tech-gifts-australia,"{""type"":""category"",""category"":""Technology""}",,[],,draft,10,true,true,false,,[],false
custom-headwear-australia,product_category,category,Headwear,custom headwear australia,Custom Headwear Australia | QuirkyPromo,Custom Headwear Australia,Headwear,Headwear,"Browse Headwear promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-headwear-australia,"{""type"":""category"",""category"":""Headwear""}",,[],,draft,5,false,true,false,,[],false
custom-packaging-australia,product_category,category,Packaging,custom packaging australia,Custom Packaging Australia | QuirkyPromo,Custom Packaging Australia,Packaging,Packaging,"Browse Packaging promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/custom-packaging-australia,"{""type"":""category"",""category"":""Packaging""}",,[],,draft,5,false,true,false,,[],false
branded-personal-care-products-australia,product_category,category,Personal Care,branded personal care products australia,Branded Personal Care Products Australia | QuirkyPromo,Branded Personal Care Products Australia,Personal Care,Personal Care,"Browse Personal Care promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-personal-care-products-australia,"{""type"":""category"",""category"":""Personal Care""}",,[],,draft,5,false,true,false,,[],false
branded-pet-products-australia,product_category,category,Pet,branded pet products australia,Branded Pet Products Australia | QuirkyPromo,Branded Pet Products Australia,Pet,Pet,"Browse Pet promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/branded-pet-products-australia,"{""type"":""category"",""category"":""Pet""}",,[],,draft,5,false,false,false,,[],false
promotional-toys-and-games-australia,product_category,category,Toys & Games,promotional toys and games australia,Promotional Toys and Games Australia | QuirkyPromo,Promotional Toys and Games Australia,Toys & Games,Toys & Games,"Browse Toys & Games promotional products for Australian businesses, with branded and custom options available from QuirkyPromo.",/promotional-toys-and-games-australia,"{""type"":""category"",""category"":""Toys & Games""}",,[],,draft,5,false,true,false,,[],false
custom-lanyards-australia,product_category,subcategory,Giveaways & Event Accessories > Lanyards,custom lanyards australia,Custom Lanyards Australia | QuirkyPromo,Custom Lanyards Australia,Lanyards,Lanyards,"Explore Lanyards in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-lanyards-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Lanyards""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
id-card-holders-australia,product_category,subcategory,Giveaways & Event Accessories > ID Holders,id card holders australia,Id Card Holders Australia | QuirkyPromo,Id Card Holders Australia,ID Holders,ID Holders,"Explore ID Holders in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/id-card-holders-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""ID Holders""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
custom-wristbands-australia,product_category,subcategory,Giveaways & Event Accessories > Wristbands,custom wristbands australia,Custom Wristbands Australia | QuirkyPromo,Custom Wristbands Australia,Wristbands,Wristbands,"Explore Wristbands in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-wristbands-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Wristbands""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
custom-badges-australia,product_category,subcategory,Giveaways & Event Accessories > Badges,custom badges australia,Custom Badges Australia | QuirkyPromo,Custom Badges Australia,Badges,Badges,"Explore Badges in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-badges-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Badges""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
custom-fridge-magnets-australia,product_category,subcategory,Giveaways & Event Accessories > Magnets,custom fridge magnets australia,Custom Fridge Magnets Australia | QuirkyPromo,Custom Fridge Magnets Australia,Magnets,Magnets,"Explore Magnets in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-fridge-magnets-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Magnets""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
temporary-tattoos-australia,product_category,subcategory,Giveaways & Event Accessories > Temporary Tattoos,temporary tattoos australia,Temporary Tattoos Australia | QuirkyPromo,Temporary Tattoos Australia,Temporary Tattoos,Temporary Tattoos,"Explore Temporary Tattoos in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/temporary-tattoos-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Temporary Tattoos""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
custom-balloons-australia,product_category,subcategory,Giveaways & Event Accessories > Balloons,custom balloons australia,Custom Balloons Australia | QuirkyPromo,Custom Balloons Australia,Balloons,Balloons,"Explore Balloons in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-balloons-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Balloons""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
promotional-stickers-and-patches-australia,product_category,subcategory,Giveaways & Event Accessories > Stickers & Patches,promotional stickers and patches australia,Promotional Stickers and Patches Australia | QuirkyPromo,Promotional Stickers and Patches Australia,Stickers & Patches,Stickers & Patches,"Explore Stickers & Patches in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/promotional-stickers-and-patches-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Stickers & Patches""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
novelty-giveaways-australia,product_category,subcategory,Giveaways & Event Accessories > Novelty Giveaways,novelty giveaways australia,Novelty Giveaways Australia | QuirkyPromo,Novelty Giveaways Australia,Novelty Giveaways,Novelty Giveaways,"Explore Novelty Giveaways in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/novelty-giveaways-australia,"{""type"":""subcategory"",""category"":""Giveaways & Event Accessories"",""subcategory"":""Novelty Giveaways""}",,[],,draft,5,false,true,false,promotional-giveaways-australia,[],false
promotional-sports-products-australia,product_category,subcategory,Outdoor & Sports > Sports Products,promotional sports products australia,Promotional Sports Products Australia | QuirkyPromo,Promotional Sports Products Australia,Sports Products,Sports Products,"Explore Sports Products in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/promotional-sports-products-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Sports Products""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
custom-golf-products-australia,product_category,subcategory,Outdoor & Sports > Golf Products,custom golf products australia,Custom Golf Products Australia | QuirkyPromo,Custom Golf Products Australia,Golf Products,Golf Products,"Explore Golf Products in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-golf-products-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Golf Products""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
custom-umbrellas-australia,product_category,subcategory,Outdoor & Sports > Umbrellas,custom umbrellas australia,Custom Umbrellas Australia | QuirkyPromo,Custom Umbrellas Australia,Umbrellas,Umbrellas,"Explore Umbrellas in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-umbrellas-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Umbrellas""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
custom-towels-australia,product_category,subcategory,Outdoor & Sports > Towels,custom towels australia,Custom Towels Australia | QuirkyPromo,Custom Towels Australia,Towels,Towels,"Explore Towels in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-towels-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Towels""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
camping-gear-australia,product_category,subcategory,Outdoor & Sports > Camping & Outdoors,camping gear australia,Camping Gear Australia | QuirkyPromo,Camping Gear Australia,Camping & Outdoors,Camping & Outdoors,"Explore Camping & Outdoors in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/camping-gear-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Camping & Outdoors""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
picnic-and-bbq-australia,product_category,subcategory,Outdoor & Sports > Picnic & BBQ,picnic and bbq australia,Picnic and Bbq Australia | QuirkyPromo,Picnic and Bbq Australia,Picnic & BBQ,Picnic & BBQ,"Explore Picnic & BBQ in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/picnic-and-bbq-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Picnic & BBQ""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
custom-sunglasses-australia,product_category,subcategory,Outdoor & Sports > Sunglasses,custom sunglasses australia,Custom Sunglasses Australia | QuirkyPromo,Custom Sunglasses Australia,Sunglasses,Sunglasses,"Explore Sunglasses in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-sunglasses-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Sunglasses""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
picnic-blankets-australia,product_category,subcategory,Outdoor & Sports > Blankets,picnic blankets australia,Picnic Blankets Australia | QuirkyPromo,Picnic Blankets Australia,Blankets,Blankets,"Explore Blankets in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/picnic-blankets-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Blankets""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
custom-supporter-gear-australia,product_category,subcategory,Outdoor & Sports > Supporter Gear,custom supporter gear australia,Custom Supporter Gear Australia | QuirkyPromo,Custom Supporter Gear Australia,Supporter Gear,Supporter Gear,"Explore Supporter Gear in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-supporter-gear-australia,"{""type"":""subcategory"",""category"":""Outdoor & Sports"",""subcategory"":""Supporter Gear""}",,[],,draft,5,false,true,false,outdoor-promotional-products-australia,[],false
custom-kitchenware-australia,product_category,subcategory,Home & Living > Kitchen & Dining,custom kitchenware australia,Custom Kitchenware Australia | QuirkyPromo,Custom Kitchenware Australia,Kitchen & Dining,Kitchen & Dining,"Explore Kitchen & Dining in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-kitchenware-australia,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Kitchen & Dining""}",,[],,draft,5,false,true,false,branded-homewares-australia,[],false
cheese-boards-australia,product_category,subcategory,Home & Living > Cheese & Serving Boards,cheese boards australia,Cheese Boards Australia | QuirkyPromo,Cheese Boards Australia,Cheese & Serving Boards,Cheese & Serving Boards,"Explore Cheese & Serving Boards in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/cheese-boards-australia,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Cheese & Serving Boards""}",,[],,draft,5,false,true,false,branded-homewares-australia,[],false
promotional-home-decor-australia,product_category,subcategory,Home & Living > Home Decor,promotional home decor australia,Promotional Home Decor Australia | QuirkyPromo,Promotional Home Decor Australia,Home Decor,Home Decor,"Explore Home Decor in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/promotional-home-decor-australia,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Home Decor""}",,[],,draft,5,false,true,false,branded-homewares-australia,[],false
candles-and-diffusers-australia,product_category,subcategory,Home & Living > Candles & Diffusers,candles and diffusers australia,Candles and Diffusers Australia | QuirkyPromo,Candles and Diffusers Australia,Candles & Diffusers,Candles & Diffusers,"Explore Candles & Diffusers in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/candles-and-diffusers-australia,"{""type"":""subcategory"",""category"":""Home & Living"",""subcategory"":""Candles & Diffusers""}",,[],,draft,5,false,true,false,branded-homewares-australia,[],false
custom-luggage-tags-australia,product_category,subcategory,Travel > Luggage Tags,custom luggage tags australia,Custom Luggage Tags Australia | QuirkyPromo,Custom Luggage Tags Australia,Luggage Tags,Luggage Tags,"Explore Luggage Tags in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-luggage-tags-australia,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Luggage Tags""}",,[],,draft,5,false,true,false,branded-travel-accessories-australia,[],false
passport-holders-australia,product_category,subcategory,Travel > Passport Holders,passport holders australia,Passport Holders Australia | QuirkyPromo,Passport Holders Australia,Passport Holders,Passport Holders,"Explore Passport Holders in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/passport-holders-australia,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Passport Holders""}",,[],,draft,5,false,true,false,branded-travel-accessories-australia,[],false
travel-wallets-australia,product_category,subcategory,Travel > Travel Wallets,travel wallets australia,Travel Wallets Australia | QuirkyPromo,Travel Wallets Australia,Travel Wallets,Travel Wallets,"Explore Travel Wallets in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/travel-wallets-australia,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Travel Wallets""}",,[],,draft,5,false,true,false,branded-travel-accessories-australia,[],false
travel-pillows-australia,product_category,subcategory,Travel > Travel Pillows & Comfort,travel pillows australia,Travel Pillows Australia | QuirkyPromo,Travel Pillows Australia,Travel Pillows & Comfort,Travel Pillows & Comfort,"Explore Travel Pillows & Comfort in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/travel-pillows-australia,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Travel Pillows & Comfort""}",,[],,draft,5,false,true,false,branded-travel-accessories-australia,[],false
travel-accessories-australia,product_category,subcategory,Travel > Travel Accessories,travel accessories australia,Travel Accessories Australia | QuirkyPromo,Travel Accessories Australia,Travel Accessories,Travel Accessories,"Explore Travel Accessories in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/travel-accessories-australia,"{""type"":""subcategory"",""category"":""Travel"",""subcategory"":""Travel Accessories""}",,[],,draft,5,false,true,false,branded-travel-accessories-australia,[],false
custom-multi-tools-australia,product_category,subcategory,Tools & Auto > Multi-Tools,custom multi tools australia,Custom Multi Tools Australia | QuirkyPromo,Custom Multi Tools Australia,Multi-Tools,Multi-Tools,"Explore Multi-Tools in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-multi-tools-australia,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Multi-Tools""}",,[],,draft,5,false,true,false,branded-tools-and-car-accessories-australia,[],false
custom-tape-measures-australia,product_category,subcategory,Tools & Auto > Tape Measures,custom tape measures australia,Custom Tape Measures Australia | QuirkyPromo,Custom Tape Measures Australia,Tape Measures,Tape Measures,"Explore Tape Measures in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-tape-measures-australia,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Tape Measures""}",,[],,draft,5,false,true,false,branded-tools-and-car-accessories-australia,[],false
custom-torches-australia,product_category,subcategory,Tools & Auto > Torches & Lights,custom torches australia,Custom Torches Australia | QuirkyPromo,Custom Torches Australia,Torches & Lights,Torches & Lights,"Explore Torches & Lights in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-torches-australia,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Torches & Lights""}",,[],,draft,5,false,true,false,branded-tools-and-car-accessories-australia,[],false
tool-sets-australia,product_category,subcategory,Tools & Auto > Tool Sets & Screwdrivers,tool sets australia,Tool Sets Australia | QuirkyPromo,Tool Sets Australia,Tool Sets & Screwdrivers,Tool Sets & Screwdrivers,"Explore Tool Sets & Screwdrivers in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/tool-sets-australia,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Tool Sets & Screwdrivers""}",,[],,draft,5,false,true,false,branded-tools-and-car-accessories-australia,[],false
car-accessories-australia,product_category,subcategory,Tools & Auto > Car Accessories,car accessories australia,Car Accessories Australia | QuirkyPromo,Car Accessories Australia,Car Accessories,Car Accessories,"Explore Car Accessories in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/car-accessories-australia,"{""type"":""subcategory"",""category"":""Tools & Auto"",""subcategory"":""Car Accessories""}",,[],,draft,5,false,true,false,branded-tools-and-car-accessories-australia,[],false
custom-coasters-australia,product_category,subcategory,Barware & Accessories > Coasters,custom coasters australia,Custom Coasters Australia | QuirkyPromo,Custom Coasters Australia,Coasters,Coasters,"Explore Coasters in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-coasters-australia,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Coasters""}",,[],,draft,5,false,true,false,branded-barware-australia,[],false
custom-bottle-openers-australia,product_category,subcategory,Barware & Accessories > Bottle Openers,custom bottle openers australia,Custom Bottle Openers Australia | QuirkyPromo,Custom Bottle Openers Australia,Bottle Openers,Bottle Openers,"Explore Bottle Openers in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-bottle-openers-australia,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Bottle Openers""}",,[],,draft,5,false,true,false,branded-barware-australia,[],false
custom-stubby-holders-australia,product_category,subcategory,Barware & Accessories > Stubby Holders,custom stubby holders australia,Custom Stubby Holders Australia | QuirkyPromo,Custom Stubby Holders Australia,Stubby Holders,Stubby Holders,"Explore Stubby Holders in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-stubby-holders-australia,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Stubby Holders""}",,[],,draft,5,false,true,false,branded-barware-australia,[],false
custom-bar-mats-australia,product_category,subcategory,Barware & Accessories > Bar Mats,custom bar mats australia,Custom Bar Mats Australia | QuirkyPromo,Custom Bar Mats Australia,Bar Mats,Bar Mats,"Explore Bar Mats in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/custom-bar-mats-australia,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Bar Mats""}",,[],,draft,5,false,true,false,branded-barware-australia,[],false
branded-wine-accessories-australia,product_category,subcategory,Barware & Accessories > Wine Accessories,branded wine accessories australia,Branded Wine Accessories Australia | QuirkyPromo,Branded Wine Accessories Australia,Wine Accessories,Wine Accessories,"Explore Wine Accessories in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/branded-wine-accessories-australia,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Wine Accessories""}",,[],,draft,5,false,true,false,branded-barware-australia,[],false
bar-accessories-australia,product_category,subcategory,Barware & Accessories > Bar Accessories,bar accessories australia,Bar Accessories Australia | QuirkyPromo,Bar Accessories Australia,Bar Accessories,Bar Accessories,"Explore Bar Accessories in Australia, with branded and custom options for corporate gifts, events and promotional campaigns.",/bar-accessories-australia,"{""type"":""subcategory"",""category"":""Barware & Accessories"",""subcategory"":""Bar Accessories""}",,[],,draft,5,false,true,false,branded-barware-australia,[],false
